S5	S6	S7
4	24	40
15	4	16
10	13	7
13	20	21
53	10	52
5	4	31
13	12	10
33	6	9
10	24	32
29	13	51
16	42	31
21	13	21
12	17	24
9	11	17
15	26	17
10	4	47
4	8	9
7	32	38
18	1	71
27	17	53
41	4	8
45	22	31
3	11	15
17	11	6
0	17	9
18	5	6
29	4	5
19	11	
17	4	
40	24	
23	20	
	4	
	16	
	20	
	27	

